STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,6,1285000,0,0,VILLAGE,Gudalur,Rural,57,286,142,144,28,20,8,0,0,0,0,0,0,167,93,74,119,49,70,113,96,17,99,96,3,88,86,2,0,0,0,1,1,0,10,9,1,14,0,14,14,0,14,0,0,0,0,0,0,0,0,0,173,46,127
33,22,6,1285100,0,0,VILLAGE,Kathakurichi,Rural,166,798,384,414,87,47,40,118,56,62,0,0,0,586,320,266,212,64,148,424,225,199,424,225,199,347,178,169,34,20,14,0,0,0,43,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,159,215
33,22,6,1285200,0,0,VILLAGE,Palaiyur,Rural,251,1148,549,599,133,60,73,451,209,242,0,0,0,700,392,308,448,157,291,542,331,211,369,301,68,177,174,3,89,55,34,16,5,11,87,67,20,173,30,143,18,3,15,63,24,39,88,1,87,4,2,2,606,218,388
33,22,6,1285300,0,0,VILLAGE,Muthupattinam,Rural,109,507,243,264,69,40,29,104,49,55,0,0,0,324,177,147,183,66,117,254,143,111,122,102,20,9,9,0,7,6,1,29,23,6,77,64,13,132,41,91,55,21,34,34,7,27,40,10,30,3,3,0,253,100,153
33,22,6,1285400,0,0,VILLAGE,Kulavoipatti,Rural,215,1036,513,523,135,68,67,213,111,102,0,0,0,698,406,292,338,107,231,489,282,207,156,132,24,22,21,1,0,0,0,3,1,2,131,110,21,333,150,183,54,29,25,270,113,157,1,1,0,8,7,1,547,231,316
33,22,6,1285500,0,0,VILLAGE,Dakshinapuram,Rural,444,2087,1039,1048,233,121,112,470,228,242,0,0,0,1345,767,578,742,272,470,1117,618,499,614,416,198,265,188,77,234,134,100,16,9,7,99,85,14,503,202,301,53,20,33,419,160,259,4,1,3,27,21,6,970,421,549
33,22,6,1285600,0,0,VILLAGE,Venkatakulam,Rural,478,2260,1115,1145,198,103,95,246,112,134,0,0,0,1461,838,623,799,277,522,1268,668,600,1243,653,590,630,325,305,424,198,226,8,1,7,181,129,52,25,15,10,5,5,0,13,6,7,4,2,2,3,2,1,992,447,545
33,22,6,1285700,0,0,VILLAGE,Vennavalkudi,Rural,1276,5772,2906,2866,651,331,320,651,324,327,0,0,0,3684,2186,1498,2088,720,1368,3068,1759,1309,2317,1330,987,944,571,373,1032,553,479,36,19,17,305,187,118,751,429,322,221,125,96,486,274,212,4,1,3,40,29,11,2704,1147,1557
33,22,6,1285800,0,0,VILLAGE,Arayapatti,Rural,679,3132,1597,1535,331,165,166,270,139,131,0,0,0,1995,1212,783,1137,385,752,1907,1002,905,1491,942,549,942,585,357,319,169,150,5,3,2,225,185,40,416,60,356,40,5,35,344,33,311,2,0,2,30,22,8,1225,595,630
33,22,6,1285900,0,0,VILLAGE,Kilayur,Rural,340,1728,867,861,155,81,74,330,171,159,0,0,0,1194,684,510,534,183,351,932,586,346,843,519,324,528,330,198,152,83,69,83,40,43,80,66,14,89,67,22,8,8,0,61,46,15,14,9,5,6,4,2,796,281,515
33,22,6,1286000,0,0,VILLAGE,Sendakudi,Rural,324,1587,777,810,179,88,91,341,160,181,0,0,0,1037,602,435,550,175,375,795,498,297,395,310,85,197,168,29,137,98,39,8,8,0,53,36,17,400,188,212,110,53,57,288,133,155,0,0,0,2,2,0,792,279,513
33,22,6,1286100,0,0,VILLAGE,Malakudi,Rural,97,451,223,228,67,34,33,92,42,50,0,0,0,139,86,53,312,137,175,296,141,155,296,141,155,277,129,148,1,0,1,1,0,1,17,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,82,73
33,22,6,1286200,0,0,VILLAGE,Kothamangalam,Rural,121,480,223,257,55,27,28,52,20,32,0,0,0,275,157,118,205,66,139,304,147,157,49,30,19,17,9,8,0,0,0,22,16,6,10,5,5,255,117,138,207,107,100,48,10,38,0,0,0,0,0,0,176,76,100
33,22,6,1286300,0,0,VILLAGE,Isugupatti,Rural,156,757,384,373,78,40,38,139,72,67,0,0,0,430,293,137,327,91,236,470,231,239,176,122,54,109,85,24,29,18,11,23,10,13,15,9,6,294,109,185,183,74,109,110,35,75,0,0,0,1,0,1,287,153,134
